method,runs,succes,taux_succes,iterations_median,iterations_moy,eval_f_median,eval_g_median,eval_total_median,cpu_median_s,cpu_moy_s,grad_norm_median,exceptions,non_converges
Cauchy_Point,180,66,36.666666666666664,1000.0,662.1555555555556,2001.0,1001.0,4002.0,0.0976766000021598,44.98249630388875,0.00843745255735795,0,114
Dogleg,180,132,73.33333333333333,11.0,286.2388888888889,23.0,12.0,47.0,0.07164380000176604,17.780758472778203,9.606684404078135e-10,0,48
Steihaug_CG,180,140,77.77777777777779,21.0,253.30555555555554,43.0,22.0,87.0,0.02091675000701795,15.76230197055532,4.77295624959923e-08,0,40
BFGS_Armijo,180,113,62.77777777777778,82.5,227.12777777777777,494.0,164.0,679.0,0.07245189999957799,3.4219348400006613,6.047881997887367e-07,0,67
BFGS_Wolfe,180,100,55.55555555555556,33.5,182.86666666666667,190.0,236.0,426.0,0.043731650002882747,3.022711782777252,8.342805390694998e-07,26,54
Newton_BT,180,142,78.88888888888889,9.0,29.18888888888889,28.5,17.0,53.0,0.013527299997804151,0.35153895222239134,7.58753950909444e-10,0,38
